ITEM CODE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
11652,0.0,0.0,22.0
11654,0.0,0.0,33.0
116548,0.08,0.0,0.0
11655,0.0,0.0,30.0
11663,0.0,0.0,11.0
11665,0.0,0.0,7.0
11667,0.0,0.0,1.0
11670,0.0,0.0,2.0
116866,0.0,0.0,8.0
11697,0.0,0.0,8.0
11703,1298.1599999999999,1434.4899999999998,19.0
11707,0.0,0.0,3.0
11711,348.57000000000005,401.0,8.0
11720,492.06999999999994,539.15,0.0
11737,0.0,0.0,1.0
11738,321.8,369.51000000000005,1.0
11746,1383.5400000000002,1570.3400000000001,73.0
11762,2519.4199999999996,2764.96,17.0
11770,944.8299999999999,1107.75,57.0
11793,0.0,0.0,1.0
11795,0.0,0.0,1.0
11797,122.09,135.82,0.0
11798,0.0,0.0,1.0
11801,2.0,2.0,29.0
11803,6.17,6.0,12.0
11805,0.0,0.0,14.0
11807,0.0,0.0,3.0
11811,0.0,0.0,7.0
118176,9.370000000000001,8.0,20.0
11819,182.36,217.67000000000002,2.0
118192,0.82,1.0,16.0
11821,0.0,0.0,2.0
11827,0.0,0.0,1.0
118281,0.83,2.0,3.0
11833,0.0,0.0,11.0
11834,0.0,0.0,2.0
11835,256.78,252.97,0.0
11837,46.77,60.0,0.0
11838,62.82000000000001,54.0,0.0
118389,5.7,5.0,0.0
11839,12.73,11.83,0.0
11840,74.91,90.0,31.0
11841,28.91,32.0,0.0
118419,0.24,0.0,0.0
11842,28.789999999999996,34.0,0.0
11843,246.62999999999997,291.44000000000005,47.0
11844,127.87000000000002,149.49,0.0
118460,0.0,0.0,1.0
11851,285.74,298.83,0.0
118516,35.14,37.0,23.0
11852,0.0,0.0,9.0
118540,6.390000000000001,10.0,59.0
11856,1.5,1.0,24.0
11859,0.0,0.0,1.0
11860,189.48999999999998,185.92000000000002,21.92
118680,1.45,1.92,3.0
11872,0.0,0.0,3.0
11873,0.0,0.0,86.0
11874,0.0,0.0,103.5
11875,0.0,0.0,3.0
11876,5.35,9.0,24.0
11878,8.72,0.0,0.0
11879,0.0,0.0,19.83
118818,0.0,0.0,6.0
118826,0.0,0.0,4.0
118834,0.0,0.0,3.0
11884,0.0,0.0,4.0
11886,323.26,375.44,1.0
11888,0.0,0.0,54.0
11893,0.0,0.0,4.0
11894,185.33000000000004,221.92000000000002,134.0
118990,0.0,0.0,23.0
11906,10.0,1.5,0.0
11908,3.0,4.0,28.0
11909,0.0,0.0,4.0
11910,0.0,0.0,17.0
11911,0.0,0.0,74.0
11912,1.0,1.0,31.0
119121,0.0,0.0,7.0
11913,0.0,0.0,1.0
119130,0.0,0.0,3.0
11914,1.0,2.0,9.0
119156,0.0,0.0,4.0
11917,0.0,0.0,2.0
11918,0.0,0.0,23.0
119180,0.0,0.0,1.0
11921,0.0,0.0,6.0
11922,0.0,0.0,6.0
119229,2.8,0.0,50.0
11923,0.0,0.0,3.0
11924,0.08,0.0,0.0
119241,0.0,0.0,78.0
119245,0.0,0.0,3.0
11925,0.0,0.0,18.0
11926,0.0,0.0,2.0
119261,8.27,6.0,2.0
11927,3.5700000000000003,1.0,0.0
119270,2.9899999999999998,3.0,8.0
11933,0.0,0.0,68.0
11935,0.0,0.0,8.0
119350,0.0,0.0,12.0
11937,0.0,0.0,1.0
11938,0.0,0.0,111.0
11940,179.49,204.84000000000003,27.0
11941,0.0,0.0,2.0
119423,0.0,0.0,1.0
11944,0.0,0.0,1.0
11945,0.0,0.0,1.0
11946,0.0,0.0,6.0
119466,0.72,0.0,0.0
11947,0.0,0.0,19.0
119490,0.0,0.0,2.0
11952,1.25,2.0,19.0
11953,0.0,0.0,3.0
119539,0.33,0.0,61.0
11954,0.0,0.0,9.0
119555,0.0,0.0,2.0
11959,26.45,19.92,1.0
119598,0.0,0.0,4.0
11960,0.0,0.0,1.0
11962,0.0,0.0,1.0
119628,0.16,0.0,30.0
11967,0.8,0.0,0.0
11973,0.0,0.0,4.0
11975,0.0,0.0,1.0
119776,2.21,0.92,1.0
11978,0.0,0.0,7.0
11981,0.0,0.0,1.0
119830,0.0,0.0,1.0
119849,0.0,0.0,1.0
11985,0.0,0.0,1.0
11986,0.0,0.0,3.0
11987,0.0,0.0,5.0
11988,0.0,0.0,8.0
119903,0.0,0.0,1.0
11992,0.0,0.0,2.0
11995,0.0,0.0,8.0
11997,0.0,0.0,6.0
11999,0.0,0.0,0.0
12000,0.0,0.0,2.0
12001,0.0,0.0,3.0
12002,0.0,0.0,2.0
12003,0.0,0.0,2.0
12006,15.75,15.0,57.0
12007,0.0,0.0,3.0
120073,0.0,0.0,35.0
12008,0.0,0.0,37.0
12010,0.0,0.0,4.0
12013,0.0,0.0,6.0
12017,112.4,128.84,12.0
120200,0.64,1.0,25.0
12023,0.0,0.0,10.0
12024,0.0,0.0,7.0
12027,3.5,5.0,0.0
12031,0.0,0.0,1.0
120324,6.9,4.75,9.0
12036,0.0,0.0,2.0
12037,0.0,0.0,1.0
12039,0.0,0.0,4.0
120405,0.0,0.0,9.0
120413,1.02,1.0,17.0
12043,0.0,0.0,1.0
12045,12.139999999999999,3.0,0.0
12046,9.45,3.0,0.0
12047,0.0,0.0,5.0
120472,0.0,0.0,5.0
12049,5.25,7.0,35.0
12050,0.0,0.0,41.0
12051,0.0,0.0,87.0
120588,11.5,15.0,17.0
12060,0.0,0.0,134.0
120618,0.0,0.0,34.0
12064,0.0,1.0,9.0
